message: -64 0 -1
message: -112 55 70 -1
message: -128 55 70 1400000
message: -112 64 72 -1
message: -128 64 72 400000
message: -112 62 72 -1
message: -128 62 72 400000
message: -112 60 71 -1
message: -128 60 71 400000
message: -112 62 79 -1
message: -128 62 79 400000
message: -112 55 79 -1
message: -128 55 79 1400000
message: -112 64 85 -1
message: -128 64 85 400000
message: -112 64 78 -1
message: -128 64 78 400000
message: -112 64 74 -1
message: -128 64 74 600000
message: -112 55 77 -1
message: -128 55 77 1600000
message: -112 62 75 -1
message: -128 62 75 400000
message: -112 62 77 -1
message: -128 62 77 400000
message: -112 62 75 -1
message: -128 62 75 800000
message: -112 55 79 -1
message: -128 55 79 400000
message: -112 64 82 -1
message: -128 64 82 400000
message: -112 67 84 -1
message: -128 67 84 400000
message: -112 67 75 -1
message: -128 67 75 800000
message: -112 55 78 -1
message: -128 55 78 1600000
message: -112 64 73 -1
message: -128 64 73 400000
message: -112 62 69 -1
message: -128 62 69 400000
message: -112 60 71 -1
message: -128 60 71 400000
message: -112 62 80 -1
message: -128 62 80 400000
message: -112 55 79 -1
message: -128 55 79 1600000
message: -112 64 84 -1
message: -128 64 84 400000
message: -112 64 76 -1
message: -128 64 76 400000
message: -112 64 74 -1
message: -128 64 74 400000
message: -112 64 77 -1
message: -128 64 77 400000
message: -112 55 78 -1
message: -128 55 78 1600000
message: -112 62 75 -1
message: -128 62 75 400000
message: -112 62 74 -1
message: -128 62 74 400000
message: -112 64 81 -1
message: -128 64 81 400000
message: -112 62 70 -1
message: -128 62 70 400000
message: -112 52 72 -1
message: -128 52 72 1600000
message: -112 60 73 -1
message: -128 60 73 1600000
